id,name,slogan,purpose
1896,Cox PLC Group,Ameliorated dynamic concept,implement leading-edge e-tailers
1897,"Collins, Johnson and Rogers and Sons",Team-oriented object-oriented parallelism,drive compelling experiences
1898,"Burton, Wilson and Daniels Group",Realigned local Graphical User Interface,benchmark mission-critical networks
1899,"Thomas, Carlson and Lyons LLC",Future-proofed well-modulated secured line,empower extensible models
1900,"Johnson, Lowe and Ochoa Ltd",Enhanced maximized support,target rich users
1901,Reeves Group and Sons,Multi-channeled analyzing open system,grow bleeding-edge initiatives
1902,"Miller, Ramirez and Cross Ltd",Streamlined eco-centric analyzer,strategize interactive eyeballs
1903,"Hill, Garrett and Love Inc",Fully-configurable non-volatile contingency,redefine global infrastructures
1904,Mahoney Ltd PLC,Automated methodical complexity,monetize 24/7 channels
1905,Cain Group Ltd,Triple-buffered full-range Graphical User Interface,reinvent sticky partnerships
1906,Watkins Ltd Ltd,Reverse-engineered user-facing productivity,visualize strategic e-business
1907,Brennan Inc PLC,Face-to-face motivating groupware,redefine dot-com methodologies
1908,"Hester, Erickson and Lane Ltd",Advanced global extranet,innovate virtual e-markets
1909,"Anderson, Grant and Neal LLC",Quality-focused solution-oriented productivity,target efficient e-tailers
1910,Thornton-Fischer LLC,Cross-group systemic knowledgebase,re-contextualize robust action-items
1911,"Richardson, Williams and Bennett PLC",Front-line didactic toolset,reinvent revolutionary info-mediaries
1912,Aguilar-Osborne and Sons,Implemented content-based productivity,facilitate granular action-items
1913,"Taylor, James and Nelson Group",Triple-buffered tertiary implementation,benchmark robust solutions
1914,Mcdonald-Campos LLC,Phased clear-thinking help-desk,whiteboard wireless content
1915,Thompson Inc Ltd,Open-source coherent forecast,enable clicks-and-mortar vortals
1916,Reyes-Brown Inc,Seamless tertiary intranet,revolutionize extensible mindshare
1917,Young Group and Sons,Up-sized multi-tasking intranet,strategize real-time infrastructures
1918,Kelly-Cobb and Sons,Customizable system-worthy productivity,incentivize integrated architectures
1919,"Jackson, Curtis and White PLC",Enhanced methodical infrastructure,engage ubiquitous e-services
1920,Norton-Dodson PLC,Quality-focused high-level monitoring,maximize cross-platform content
1921,"Poole, Brown and Rasmussen LLC",Ameliorated actuating service-desk,expedite integrated applications
1922,Middleton-Walls Group,Future-proofed exuding encoding,synthesize B2C paradigms
1923,Wang Ltd and Sons,User-centric full-range firmware,brand interactive niches
1924,"Sanford, Haley and Christensen and Sons",Monitored zero-defect concept,extend dot-com mindshare
1925,"Wallace, Huang and Bautista Ltd",Universal didactic encryption,e-enable visionary e-markets
1926,"Taylor, Brown and Reed LLC",Decentralized stable function,redefine bleeding-edge e-markets
1927,Taylor Inc Group,Expanded national system engine,unleash collaborative ROI
1928,"Harrison, Fowler and Ward and Sons",Distributed attitude-oriented focus group,synergize 24/7 synergies
1929,"Johnson, Marshall and Reid PLC",Business-focused systematic help-desk,maximize interactive methodologies
1930,Taylor-Lopez Ltd,Reduced encompassing instruction set,transition 24/365 technologies
1931,Yu-Mathews Group,Total hybrid protocol,reinvent global communities
1932,Harrison-Merritt PLC,Digitized bottom-line system engine,maximize value-added paradigms
1933,"Chaney, Cruz and Lee Inc",Optional uniform task-force,maximize real-time info-mediaries
1934,Wyatt-Powell and Sons,Open-source interactive groupware,aggregate open-source platforms
1935,Maxwell-Hensley Group,Object-based 24hour neural-net,re-intermediate next-generation supply-chains
1936,"Wright, Martin and Reed PLC",Universal modular architecture,iterate world-class networks
1937,Johnson and Sons Ltd,Centralized demand-driven hardware,leverage value-added architectures
1938,"Nguyen, Robinson and Taylor PLC",Monitored system-worthy task-force,engineer transparent web-readiness
1939,"Brady, Salas and Kennedy Group",Cross-platform background standardization,enhance world-class experiences
1940,"Davila, Lester and Evans Inc",Versatile upward-trending model,architect leading-edge architectures
1941,Randolph LLC LLC,Vision-oriented systemic solution,synergize e-business supply-chains
1942,Bennett LLC PLC,Distributed value-added array,whiteboard transparent models
1943,Long Ltd Ltd,Balanced human-resource extranet,maximize best-of-breed systems
1944,"Johnson, Reyes and Bailey and Sons",Face-to-face needs-based framework,whiteboard B2C networks
1945,"Kelley, Brown and Brady Ltd",Fully-configurable upward-trending installation,deliver rich initiatives
1946,Gomez-Ross Inc,Expanded 3rdgeneration analyzer,generate interactive e-tailers
1947,Ferguson-Ellis and Sons,Triple-buffered national model,architect one-to-one mindshare
1948,Thompson-Gibson PLC,Vision-oriented zero administration forecast,extend enterprise paradigms
1949,"Ruiz, Thomas and Bowen LLC",Switchable interactive artificial intelligence,scale 24/7 mindshare
1950,"Johnson, Evans and Fuentes PLC",Programmable cohesive ability,envisioneer 24/7 technologies
1951,"White, Cruz and Rodriguez LLC",Grass-roots neutral attitude,aggregate B2B info-mediaries
1952,Berry-Leonard Group,Switchable grid-enabled data-warehouse,repurpose customized architectures
1953,Page-Allen LLC,Secured scalable ability,drive bricks-and-clicks mindshare
1954,Austin-Hudson PLC,Optimized incremental support,matrix best-of-breed platforms
1955,Hurst-Baxter LLC,Optimized client-driven infrastructure,maximize intuitive paradigms
1956,"Mosley, Fernandez and Harris PLC",Assimilated user-facing synergy,morph strategic e-business
1957,Lee Ltd and Sons,Virtual next generation process improvement,generate enterprise vortals
1958,Holt-Key and Sons,Vision-oriented 24/7 migration,repurpose plug-and-play paradigms
1959,Wilson-Taylor Ltd,Implemented secondary toolset,incentivize world-class relationships
1960,Le Group Group,Organized hybrid toolset,incubate turn-key models
1961,"Paul, Mcfarland and Phillips Ltd",Networked tertiary interface,transition bleeding-edge relationships
1962,Calhoun Inc and Sons,Exclusive fresh-thinking extranet,aggregate B2B e-services
1963,"Ramsey, Webster and Williams PLC",Phased hybrid paradigm,seize granular vortals
1964,Kennedy PLC and Sons,Adaptive leadingedge help-desk,empower seamless portals
1965,Villegas-Sims PLC,Object-based value-added approach,iterate distributed schemas
1966,Diaz-Miles LLC,Mandatory disintermediate flexibility,grow open-source ROI
1967,"Taylor, Melton and Gregory LLC",Synergized tertiary application,incentivize best-of-breed initiatives
1968,Wright-Davidson and Sons,Reactive exuding structure,disintermediate vertical content
1969,Gomez-Miller and Sons,Phased web-enabled emulation,embrace bleeding-edge channels
1970,Rodriguez-Bender and Sons,Multi-channeled incremental leverage,implement user-centric architectures
1971,Hopkins PLC Ltd,Object-based value-added website,reinvent 24/365 metrics
1972,"Cooke, Hall and Johnson LLC",Inverse disintermediate alliance,re-contextualize user-centric e-business
1973,Hill-Rodgers Group,Upgradable upward-trending methodology,embrace revolutionary applications
1974,Hoffman-Thomas LLC,Right-sized regional architecture,synthesize customized e-markets
1975,"Rice, Valdez and Warren and Sons",Sharable 5thgeneration workforce,morph strategic ROI
1976,Duncan-King and Sons,Assimilated coherent framework,disintermediate cutting-edge platforms
1977,Murphy and Sons and Sons,Synergistic web-enabled workforce,transform wireless e-commerce
1978,Knox-Lowe and Sons,Reactive eco-centric adapter,morph proactive mindshare
1979,Richard-Cook Ltd,Future-proofed full-range structure,whiteboard value-added methodologies
1980,Carr-Fisher LLC,Visionary mobile application,syndicate holistic content
1981,Hayes Group and Sons,Profound clear-thinking functionalities,visualize sticky functionalities
1982,Rangel-Crawford LLC,Cloned bifurcated application,maximize proactive eyeballs
1983,Bentley-Rodriguez Ltd,Cross-platform 24hour process improvement,exploit cross-platform relationships
1984,Fuller-Garcia and Sons,Inverse object-oriented workforce,transform end-to-end platforms
1985,White-Figueroa Inc,Exclusive system-worthy focus group,exploit efficient e-business
1986,"Conley, Olson and Elliott and Sons",User-friendly full-range open architecture,iterate B2C infrastructures
1987,Ramirez-Lopez and Sons,Right-sized local strategy,transition cross-media convergence
1988,Rodriguez-Todd LLC,Persevering asynchronous help-desk,aggregate holistic e-markets
1989,Nelson-Robinson and Sons,Monitored disintermediate moderator,cultivate world-class paradigms
1990,Mckenzie-Schmidt and Sons,Realigned 5thgeneration throughput,maximize collaborative portals
1991,Dean Inc Ltd,Mandatory value-added extranet,utilize distributed platforms
1992,Kramer Ltd Inc,Networked bifurcated collaboration,mesh B2B interfaces
1993,"Johnson, Jones and King Inc",Ergonomic even-keeled monitoring,re-contextualize e-business schemas
1994,Ryan-Nguyen Inc,Re-engineered radical knowledgebase,disintermediate innovative eyeballs
1995,Mcdonald Ltd and Sons,Multi-lateral impactful matrices,architect granular platforms
1996,"Watkins, Reid and Hester LLC",Integrated multimedia info-mediaries,architect 24/365 networks
1997,Ruiz Group LLC,Up-sized methodical Local Area Network,iterate visionary applications
1998,"Potter, Hill and Hayes and Sons",Up-sized dynamic solution,mesh innovative methodologies
1999,Barber Group Group,Customer-focused tangible framework,aggregate e-business models
2000,Gonzalez Inc Ltd,Re-contextualized solution-oriented data-warehouse,innovate innovative applications
2001,Thompson and Sons Ltd,Expanded empowering process improvement,drive efficient networks
2002,"Smith, Weaver and Hoffman LLC",Multi-tiered zero administration complexity,productize cross-media niches
2003,"Reynolds, Smith and Oconnor PLC",Visionary bi-directional encoding,monetize dot-com supply-chains
2004,"Glass, Johnson and Robinson PLC",Multi-lateral zero tolerance encryption,matrix real-time supply-chains
2005,"Holt, Scott and Aguilar PLC",Advanced clear-thinking instruction set,deliver killer niches
2006,Navarro-Hughes LLC,Phased upward-trending help-desk,seize one-to-one paradigms
2007,Goodwin PLC Group,Self-enabling bi-directional hierarchy,disintermediate visionary users
2008,"Stein, Jackson and Olson Inc",Implemented bandwidth-monitored customer loyalty,drive extensible e-commerce
2009,Lewis LLC LLC,Diverse 24hour approach,optimize killer infrastructures
2010,Garcia-Davis Group,Reverse-engineered multimedia hub,embrace B2C networks
2011,"Blair, Friedman and Collins Inc",Digitized needs-based service-desk,implement one-to-one methodologies
2012,Rose-Bowman Group,Open-source mobile project,morph granular markets
2013,Garcia-Garza Ltd,Assimilated secondary encoding,whiteboard ubiquitous methodologies
2014,"Scott, Ferrell and Garza Group",Pre-emptive multi-tasking Internet solution,re-contextualize value-added solutions
2015,Cohen-Alvarez Ltd,Balanced optimizing analyzer,cultivate e-business functionalities
2016,Velez-Smith Ltd,Face-to-face 24hour help-desk,transform cross-platform networks
2017,Obrien-Robinson LLC,Multi-lateral bi-directional synergy,drive cross-platform synergies
2018,Bullock-Sharp and Sons,Self-enabling asynchronous standardization,target turn-key schemas
2019,Trevino PLC Inc,Grass-roots multi-state support,expedite innovative web services
2020,"Mcdowell, Torres and Curry Inc",Total multi-tasking functionalities,drive collaborative e-commerce
2021,Vasquez-Lewis Inc,Devolved eco-centric hardware,target back-end experiences
2022,Martinez-Bridges Ltd,Customer-focused 4thgeneration secured line,synthesize killer communities
2023,"Richmond, Jimenez and Pratt Inc",Operative demand-driven frame,disintermediate leading-edge models
2024,"Hill, Baird and Sullivan and Sons",Total tangible moratorium,deliver B2B bandwidth
2025,Smith-Williams Group,Progressive actuating extranet,strategize killer supply-chains
2026,"Sutton, Mata and Crosby Inc",Synchronized homogeneous archive,maximize visionary methodologies
2027,"Lewis, Jones and Haney and Sons",Ergonomic incremental adapter,evolve killer functionalities
2028,"Mcgee, Gordon and Porter PLC",Focused client-driven encoding,brand holistic info-mediaries
2029,Wong-Hughes Group,Distributed didactic website,morph transparent architectures
2030,Petersen-Wilkins Group,Seamless optimal moratorium,matrix proactive ROI
2031,"Herrera, Mitchell and Smith Inc",Open-source eco-centric extranet,mesh 24/365 supply-chains
2032,Nichols Ltd Ltd,User-centric dynamic algorithm,engage intuitive partnerships
2033,"Fowler, Contreras and Coleman Ltd",Synergistic client-server utilization,repurpose compelling info-mediaries
2034,Potter Ltd and Sons,Up-sized dedicated orchestration,deploy integrated web services
